oder_item_id,order_id,product_id,seller_id,shipping_limit_date,price
3001,1,1020,2001,2020-01-08,11.89
3002,2,1006,2004,2020-01-27,58.00
3003,2,1004,2005,2020-01-27,30.00
3004,3,1008,2003,2020-02-06,15.00
3005,4,1020,2001,2020-02-07,11.89
3006,5,1014,2003,2020-02-27,239.00
3007,5,1007,2004,2020-02-27,40.00
3008,6,1015,2005,2020-02-28,140.00
3009,7,1012,2002,2020-03-05,349.00
3010,8,1003,2005,2020-03-12,30.00
3011,9,1010,2001,2020-03-16,165.00
3012,9,1018,2003,2020-03-16,21.29
3013,10,1020,2001,2020-03-18,11.89
3014,11,1017,2004,2020-03-18,18.75
3015,12,1002,2005,2020-03-23,40.00
3016,12,1016,2003,2020-03-23,12.55
3017,13,1019,2005,2020-03-23,130.00
3018,14,1018,2001,2020-03-26,21.29
3019,14,1001,2004,2020-03-26,35.00
3020,15,1020,2005,2020-03-27,11.89
3021,16,1005,2003,2020-04-05,60.00
3022,17,1016,2001,2020-04-10,12.55
3023,18,1018,2003,2020-04-13,21.29
3024,19,1020,2004,2020-04-14,11.89
3025,19,1013,2005,2020-04-14,120.00
3026,20,1003,2002,2020-04-23,30.00
3027,21,1011,2005,2020-04-23,210.00
3028,22,1009,2001,2020-05-03,150.00
3029,23,1013,2003,2020-05-03,120.00
3030,24,1002,2001,2020-05-07,40.00
3031,24,1011,2004,2020-05-07,210.00
3032,24,1001,2005,2020-05-07,35.00
3033,25,1005,2003,2020-05-08,60.00
3034,26,1020,2005,2020-05-08,11.89
3035,27,1006,2002,2020-05-08,58.00
3036,28,1004,2005,2020-05-08,30.00
3037,28,1008,2001,2020-05-08,15.00
3038,29,1020,2003,2020-05-08,11.89
3039,30,1020,2001,2020-05-08,11.89
3040,31,1005,2004,2020-05-08,60.00
3041,32,1016,2005,2020-05-08,12.55
3042,33,1018,2003,2020-05-08,21.29
3043,33,1020,2005,2020-05-08,11.89